post_month,postings,pct_hourly,pct_pay_disclosed,median_hourly,median_budget,n_countries,n_categories,days_covered,postings_per_day
2024-02,99899,58.27685962822451,84.5483938778166,22.5,100.0,198,22,16,6243.6875
2024-03,140649,57.044842124721825,84.07027422875385,22.5,100.0,200,22,23,6115.173913043478
