feature,importance
sin1,0.3573834049805934
dow,0.30156219534106365
lag_7,0.26702454500595557
lag_1,0.026158554446199814
roll7_std,0.015525351559189134
lag_3,0.010731006404577848
sin2,0.010442270735384993
roll7_mean,0.00641486205837822
roll3_mean,0.0017481624194516118
lag_2,0.0015286528959464255
cos2,0.0007967997998144081
cos1,0.0006841943534448766
