category,current_share_pct,projected_30d_pct,delta_ppt,r_squared,reliable
Web Development,12.657784340024453,13.387131271922643,0.7293469318981902,0.13126707496673182,False
Digital Marketing,10.175995147933323,10.76740824563279,0.5914130976994674,0.13520418246254667,False
Design & Creative,12.697397561574206,13.13069868962567,0.4333011280514629,0.030547851139178052,False
Video & Animation,7.736241306703043,8.15749176503853,0.42125045833548747,0.045757532903561465,False
E-commerce,5.260985906384489,5.587163086377956,0.32617717999346674,0.08404783814358575,False
Data Science & Analytics,5.593839834671787,5.80159981496996,0.20775998029817355,0.04690590750838569,False
Project Management,0.8817028324049082,1.0348252605139343,0.1531224281090261,0.08518580757669376,False
HR & Recruitment,0.6519930991318517,0.799098229251976,0.14710513012012438,0.05987734393005779,False
Mobile Development,4.348243788722939,4.495343786994688,0.14709999827174958,0.011068748725476824,False
Finance & Accounting,2.17380863875437,2.276500779531015,0.10269214077664479,0.012919040212896847,False
Game Development,0.6167784984376103,0.7051282864072248,0.08834978796961446,0.0915110305052258,False
Sales & Business Development,4.563488555404144,4.621177375433776,0.05768882002963149,0.03827011201612608,False
Software & IT,6.884044503097964,6.93861601490988,0.05457151181191655,0.010002555108256091,False
Real Estate,0.6034360236503991,0.6480852044726455,0.04464918082224645,0.030975936741202848,False
Other / Uncategorised,10.170776298384263,10.21523187734668,0.04445557896241681,0.023488753683534477,False
Business & Consulting,1.1961154733145578,1.2242977413361098,0.028182268021551993,0.0023544790746239984,False
Engineering & Manufacturing,0.42568551764795787,0.45205306651663646,0.026367548868678592,0.00036440085698349856,False
Legal,0.8111931561390062,0.8033406215985343,-0.007852534540471967,0.003960185909550928,False
Research & Survey,1.3433737993847485,1.2421604557283579,-0.10121334365639068,0.024728336385840093,False
Audio & Music,0.8389882558811673,0.6864336498908037,-0.15255460599036363,0.08422499746327759,False
Admin & Customer Support,3.356564360126847,2.321168876681199,-1.0353954834456482,0.2690866783414697,True
Writing & Translation,7.011563102225965,4.705045899818986,-2.3065172024069795,0.44342056373170563,True
