model,MAE,MAPE_pct,RMSE
SeasonalNaive (lag-7),88.5,1.6014975744110573,108.16191566350885
RandomForest,211.24915558862153,3.8137450964170116,242.55604200163765
Ridge,325.5341084514496,5.665492006057738,336.2981539898248
Naive (lag-1),831.75,15.502818327823675,1205.4510566588758
